City,customers,revenue,orders
sao paulo,14984,1914924.54,15540
rio de janeiro,6620,992538.86,6882
belo horizonte,2672,355611.13,2773
brasilia,2069,301920.25,2131
curitiba,1465,211738.06,1521
porto alegre,1326,190562.08,1379
campinas,1398,187844.53,1444
salvador,1209,181104.42,1245
guarulhos,1153,144268.39,1189
niteroi,811,117907.12,849
goiania,671,106111.17,692
sao bernardo do campo,908,104540.99,938
santos,692,98777.09,713
fortaleza,643,97868.06,654
santo andre,769,92083.5,797
recife,590,89803.01,613
florianopolis,546,85925.99,570
osasco,717,82157.86,746
jundiai,547,81310.3,565
belem,435,80977.48,447
sao jose dos campos,666,78650.94,691
sorocaba,610,76551.76,633
ribeirao preto,489,65637.01,510
juiz de fora,415,65140.77,427
nova iguacu,432,60234.090000000004,442
campo grande,315,57121.67,320
vitoria,367,53189.78,380
joao pessoa,241,53164.81,256
sao goncalo,399,52514.840000000004,409
piracicaba,360,52307.98,369
mogi das cruzes,371,52007.78,383
barueri,419,51328.35,433
sao luis,341,51026.91,353
teresina,271,49967.43,281
contagem,417,49542.22,426
uberlandia,367,48551.97,374
vila velha,325,48285.18,334
sao jose do rio preto,330,47070.55,335
londrina,298,46465.26,306
maceio,243,44702.48,247
maua,314,43639.96,323
praia grande,297,39671.02,316
bauru,267,39462.26,273
cuiaba,242,39171.17,248
caxias do sul,213,38480.07,224
maringa,261,37862.29,271
indaiatuba,269,37334.1,280
aracaju,220,36507.8,225
serra,278,36357.33,285
natal,203,35929.37,207
taboao da serra,285,35733.3,296
divinopolis,136,35301.770000000004,137
joinville,260,34772.57,264
campos dos goytacazes,235,34660.36,238
duque de caxias,262,34029.68,266
marilia,195,33904.28,196
volta redonda,226,33354.0,232
petropolis,220,33230.1,240
sao caetano do sul,267,32452.6,277
carapicuiba,320,32235.88,328
santa maria,191,31810.54,197
macae,232,31337.8,239
cotia,244,31082.38,250
sao carlos,231,30244.33,241
betim,201,29992.31,203
guaruja,215,29773.76,226
taubate,266,29724.56,270
diadema,274,29393.24,286
uberaba,182,28688.24,191
nova friburgo,145,28024.89,152
feira de santana,176,27652.19,185
canoas,202,26785.25,210
montes claros,206,26690.89,211
presidente prudente,158,26196.13,161
suzano,222,25334.87,234
americana,220,24926.37,224
blumenau,183,24755.36,188
cascavel,151,24731.28,153
santana de parnaiba,177,23294.05,185
limeira,181,23083.89,190
valinhos,178,22546.55,183
franca,160,22443.73,161
pelotas,180,22387.13,186
ipatinga,168,21957.22,171
porto velho,105,21938.53,113
sumare,177,21487.920000000002,183
jaboatao dos guararapes,134,21405.16,135
pouso alegre,124,21372.21,131
sao vicente,163,21371.98,165
nova lima,95,20962.05,98
atibaia,154,20913.21,159
embu das artes,162,20727.72,165
manaus,135,20652.56,140
rio claro,151,20505.56,157
araraquara,150,20352.07,155
sao jose,166,20350.46,169
rio das ostras,135,20268.71,137
braganca paulista,142,20127.62,146
barra mansa,120,20086.96,123
novo hamburgo,120,19847.08,123
palmas,108,19742.48,110
governador valadares,140,19659.05,141
itaquaquecetuba,166,19365.24,172
itajai,118,19348.57,120
gravatai,108,19110.02,112
ponta grossa,135,18923.38,143
angra dos reis,82,18893.04,85
sao joao de meriti,130,18796.24,134
jacarei,189,18479.13,194
itapevi,169,18348.91,170
ananindeua,85,18075.24,88
cariacica,136,17574.58,139
campina grande,68,17500.53,68
sete lagoas,123,17308.35,128
araruama,75,17199.19,77
pocos de caldas,117,17190.35,122
cabo frio,116,17182.670000000002,117
anapolis,110,17179.78,113
botucatu,99,17179.5,101
teresopolis,115,17115.29,120
balneario camboriu,98,16958.38,100
patos de minas,97,16791.97,100
aracatuba,136,16733.59,141
paulinia,125,16658.69,130
hortolandia,143,16523.21,145
rio grande,122,16516.78,125
vitoria da conquista,91,16497.2,92
vicosa,89,16474.05,91
mage,106,16186.65,111
cachoeiro de itapemirim,118,15871.630000000001,122
ferraz de vasconcelos,107,15768.28,111
marica,136,15670.960000000001,139
criciuma,93,15422.08,93
chapeco,99,15322.25,103
passo fundo,112,15223.21,113
sao jose dos pinhais,128,15124.05,133
guaratingueta,97,14751.119999999999,98
birigui,76,14611.34,79
aparecida de goiania,104,14554.460000000001,110
