order_month,orders,revenue,freight
2016-09,4,267.36,87.39
2016-10,324,49507.66,7301.18
2016-12,1,10.9,8.72
2017-01,800,120312.87,16875.62
2017-02,1780,247303.02,38977.6
2017-03,2682,374344.3,57704.29
2017-04,2404,359927.23,52495.01
2017-05,3700,506071.14,80119.81
2017-06,3245,433038.6,69924.44
2017-07,4026,498031.48,86940.14
2017-08,4331,573971.68,94232.92
2017-09,4285,624401.6900000001,95997.22
2017-10,4631,664219.43,105092.94
2017-11,7544,1010271.37,168872.4
2017-12,5673,743914.17,119633.06
2018-01,7269,950030.36,157271.53
2018-02,6728,844178.71,142730.25
2018-03,7211,983213.4400000001,171913.38
2018-04,6939,996647.75,163050.29
2018-05,6873,996517.68,153264.14
2018-06,6167,865124.31,157552.8
2018-07,6292,895507.22,163220.81
2018-08,6512,854686.33,148622.14
2018-09,16,145.0,21.46
2018-10,4,0.0,0.0
