State,customers,sellers,revenue,orders,avg_delivery_days,avg_freight_cost,late_delivery_rate
SP,40302,2549,5202955.05,41746,8.723795135225497,15.147275390419185,0.057683612169756475
RJ,12384,1751,1824092.67,12852,15.148467143735175,20.960923931682558,0.1297186483811678
MG,11259,1664,1585308.03,11635,11.983905753149022,20.63016680630665,0.054501819307888826
RS,5277,1232,750304.02,5466,15.188565554589319,21.73580433039294,0.06880808739605414
PR,4882,1232,683083.76,5045,11.94721725780702,20.531651567944248,0.04779607010090282
SC,3534,1038,520553.34,3637,15.001540309297217,21.47036877394636,0.0961444607125427
BA,3277,967,511349.99,3380,19.247617962535575,26.363958936562252,0.1368449633450991
DF,2075,786,302603.94,2140,12.95899312436109,21.04135494596841,0.07430997876857749
GO,1952,724,294591.95,2020,15.403337684412564,22.76681525932276,0.07861220904699165
ES,1964,738,275037.31,2033,15.649065751144404,22.058776595744682,0.12224719101123596
PE,1609,638,262788.03,1652,18.27926698193755,32.917862679955704,0.10194730813287514
CE,1313,528,227254.71,1336,20.9874645148304,32.71420162381597,0.15287517531556802
PA,949,465,178947.81,975,23.7540533747101,35.83268518518519,0.12428842504743833
MT,876,465,156453.53,907,17.961681812296867,28.166284360189575,0.06750241080038573
MA,726,375,119648.22,747,21.648666666666667,38.25700242718447,0.20375
MS,694,404,116812.64,715,15.534071690756724,23.374884004884002,0.10850801479654747
PB,519,303,115268.08,536,20.589148298255594,42.72380398671096,0.11262798634812286
PI,482,297,86914.08,495,19.38470980720204,39.147970479704796,0.15487571701720843
RN,474,275,83034.98,485,19.32527508974906,35.6523629489603,0.1036468330134357
AL,401,252,80314.81,413,24.489141810868244,35.843671171171174,0.24121779859484777
SE,342,212,58920.85,350,21.467353209876542,36.65316883116883,0.16266666666666665
TO,273,199,49621.74,280,17.4483853046595,37.24660317460317,0.12258064516129032
RO,240,182,46140.64,253,19.73936588488672,41.06971223021583,0.040293040293040296
AM,143,118,22356.84,148,26.390967180754373,33.20539393939394,0.04294478527607362
AC,77,71,15982.95,81,20.71554995929996,40.07336956521739,0.03296703296703297
AP,67,63,13474.3,68,28.205959790809327,34.00609756097561,0.04938271604938271
RR,45,39,7829.43,46,28.23101147342995,42.98442307692308,0.10869565217391304
